char	unicode_hex	code_hex	modes	frequency	first_seen_chunk	first_seen_row	source_count	notes
柚	U+67DA	0xF1B4	1x1,1x2	1	chunk_0009	2	1	provisional
木	U+6728	0xF1B5	1x1,1x2	169	chunk_0009	2	155	provisional
凉	U+51C9	0xF1B6	1x1,1x2	2	chunk_0009	2	2	provisional
香	U+9999	0xF1B7	1x1,1x2	20	chunk_0009	2	20	provisional
犬	U+72AC	0xF1B8	1x1,1x2	17	chunk_0009	3	17	provisional
冢	U+51A2	0xF1B9	1x1,1x2	3	chunk_0009	3	3	provisional
牙	U+7259	0xF1BA	1x1,1x2	40	chunk_0009	3	37	provisional
鸟	U+9E1F	0xF1BB	1x1,1x2	14	chunk_0009	3	14	provisional
海	U+6D77	0xF1BC	1x1,1x2	5	chunk_0009	3	5	provisional
浩	U+6D69	0xF1BD	1x1,1x2	5	chunk_0009	3	4	provisional
辅	U+8F85	0xF1BE	1x1,1x2	1	chunk_0009	3	1	provisional
日	U+65E5	0xF1BF	1x1,1x2	24	chunk_0009	3	22	provisional
雏	U+96CF	0xF1C0	1x1,1x2	22	chunk_0009	3	21	provisional
田	U+7530	0xF1C1	1x1,1x2	40	chunk_0009	3	36	provisional
水	U+6C34	0xF1C2	1x1,1x2	110	chunk_0009	3	88	provisional
树	U+6811	0xF1C3	1x1,1x2	5	chunk_0009	3	5	provisional
女	U+5973	0xF1C4	1x1,1x2	37	chunk_0009	3	32	provisional
志	U+5FD7	0xF1C5	1x1,1x2	14	chunk_0009	3	12	provisional
乃	U+4E43	0xF1C6	1x1,1x2	11	chunk_0009	3	10	provisional
川	U+5DDD	0xF1C7	1x1,1x2	13	chunk_0009	3	11	provisional
绅	U+7EC5	0xF1C8	1x1,1x2	1	chunk_0009	3	1	provisional
司	U+53F8	0xF1C9	1x1,1x2	3	chunk_0009	3	3	provisional
洛	U+6D1B	0xF1CA	1x1,1x2	2	chunk_0009	4	2	provisional
·	U+00B7	0xF1CB	1x1,1x2	375	chunk_0009	4	331	provisional
李	U+674E	0xF1CC	1x1,1x2	17	chunk_0009	4	16	provisional
洋	U+6D0B	0xF1CD	1x1,1x2	1	chunk_0009	4	1	provisional
宁	U+5B81	0xF1CE	1x1,1x2	13	chunk_0009	4	11	provisional
远	U+8FDC	0xF1CF	1x1,1x2	20	chunk_0009	4	13	provisional
近	U+8FD1	0xF1D0	1x1,1x2	27	chunk_0009	4	27	provisional
孝	U+5B5D	0xF1D1	1x1,1x2	1	chunk_0009	4	1	provisional
天	U+5929	0xF1D2	1x1,1x2	109	chunk_0009	4	86	provisional
爱	U+7231	0xF1D3	1x1,1x2	65	chunk_0009	5	57	provisional
罗	U+7F57	0xF1D4	1x1,1x2	20	chunk_0009	5	20	provisional
石	U+77F3	0xF1D5	1x1,1x2	35	chunk_0009	5	35	provisional
彰	U+5F70	0xF1D6	1x1,1x2	4	chunk_0009	5	4	provisional
鞠	U+97A0	0xF1D7	1x1,1x2	13	chunk_0009	5	12	provisional
朴	U+6734	0xF1D8	1x1,1x2	2	chunk_0009	5	2	provisional
璐	U+7490	0xF1D9	1x1,1x2	1	chunk_0009	5	1	provisional
美	U+7F8E	0xF1DA	1x1,1x2	14	chunk_0009	5	13	provisional
勘	U+52D8	0xF1DB	1x1,1x2	10	chunk_0009	5	9	provisional
九	U+4E5D	0xF1DC	1x1,1x2	29	chunk_0009	5	28	provisional
濑	U+6FD1	0xF1DD	1x1,1x2	2	chunk_0009	5	2	provisional
康	U+5EB7	0xF1DE	1x1,1x2	3	chunk_0009	5	3	provisional
旗	U+65D7	0xF1DF	1x1,1x2	3	chunk_0009	6	3	provisional
卡	U+5361	0xF1E0	1x1,1x2	137	chunk_0009	6	71	provisional
西	U+897F	0xF1E1	1x1,1x2	65	chunk_0009	6	54	provisional
彦	U+5F66	0xF1E2	1x1,1x2	6	chunk_0009	6	5	provisional
