risk_type	severity	id	source_file	offset	source_kind	strategy	encoded_len	raw_len	slot_len	padding_len	details
ui_ctrl0000_not_fixed_subslot	high	zh_txt_7edda24f_000460_0001	msg/wifi/vs_msg.msg	0x460	text	plain_message_text	84	134	0	48	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_03_not_early_terminated	medium	zh_txt_7edda24f_000460_0001	msg/wifi/vs_msg.msg	0x460	text	plain_message_text	84	134	0	48	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_ctrl0000_not_fixed_subslot	high	zh_txt_7edda24f_0004E8_0002	msg/wifi/vs_msg.msg	0x4E8	text	plain_message_text	47	102	0	53	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_03_not_early_terminated	medium	zh_txt_7edda24f_0004E8_0002	msg/wifi/vs_msg.msg	0x4E8	text	plain_message_text	47	102	0	53	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_ctrl0000_not_fixed_subslot	high	zh_txt_7edda24f_000550_0003	msg/wifi/vs_msg.msg	0x550	text	plain_message_text	132	224	0	90	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_03_not_early_terminated	medium	zh_txt_7edda24f_000550_0003	msg/wifi/vs_msg.msg	0x550	text	plain_message_text	132	224	0	90	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_ctrl0000_not_fixed_subslot	high	zh_txt_7edda24f_000632_0004	msg/wifi/vs_msg.msg	0x632	text	plain_message_text	43	96	0	51	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_03_not_early_terminated	medium	zh_txt_7edda24f_000632_0004	msg/wifi/vs_msg.msg	0x632	text	plain_message_text	43	96	0	51	UI or Wi-Fi message keeps fullwidth padding before original 03 00 terminator
ui_ctrl0000_not_fixed_subslot	high	zh_txt_7edda24f_000694_0005	msg/wifi/vs_msg.msg	0x694	text	fullwidth_space_before_original_nul4_terminator	382	700	0	314	UI or Wi-Fi message contains CTRL_0000 but is not in FIXED_SUBSLOT_SOURCE_FILES
ui_nul4_fullwidth_padding_preserved	medium	zh_txt_7edda24f_000694_0005	msg/wifi/vs_msg.msg	0x694	text	fullwidth_space_before_original_nul4_terminator	382	700	0	314	UI or Wi-Fi NUL4 row still preserves fullwidth padding before original terminator
overlay_fixed_width_spacing_candidate	medium	menu_overlay_0000_030100	overlay/overlay_0000.bin	0x30100	overlay	zero_fill_after_encoded	46	66	68	22	overlay row has 18 fullwidth spaces and may encode a fixed layout
overlay_fixed_width_spacing_candidate	medium	menu_overlay_0000_0301F8	overlay/overlay_0000.bin	0x301F8	overlay	zero_fill_after_encoded	10	26	28	18	overlay row has 3 fullwidth spaces and may encode a fixed layout
overlay_fixed_width_spacing_candidate	medium	menu_overlay_0000_030214	overlay/overlay_0000.bin	0x30214	overlay	zero_fill_after_encoded	12	26	28	16	overlay row has 3 fullwidth spaces and may encode a fixed layout
overlay_fixed_width_spacing_candidate	medium	menu_overlay_0002_0128B8	overlay/overlay_0002.bin	0x128B8	overlay	zero_fill_after_encoded	30	38	132	102	overlay row has 12 fullwidth spaces and may encode a fixed layout
overlay_fixed_width_spacing_candidate	medium	menu_overlay_0003_045228	overlay/overlay_0003.bin	0x45228	overlay	zero_fill_after_encoded	22	70	76	54	overlay row has 10 fullwidth spaces and may encode a fixed layout
overlay_fixed_width_spacing_candidate	medium	menu_overlay_0003_0452B8	overlay/overlay_0003.bin	0x452B8	overlay	zero_fill_after_encoded	12	28	32	20	overlay row has 5 fullwidth spaces and may encode a fixed layout
overlay_fixed_width_spacing_candidate	medium	menu_overlay_0003_0452D8	overlay/overlay_0003.bin	0x452D8	overlay	zero_fill_after_encoded	12	28	32	20	overlay row has 5 fullwidth spaces and may encode a fixed layout
